| 3928 |     43 |  .  20  n.  ....  ...  ...  |        |
| 3929 |    106 |  .  10  n.  ....  ...  ...  |        |
| 4002 |    179 |  .  00  .t  ....  ...  ...  |        |
| 3933 |    194 |  .  41  n.  .u..  ...  ...  |        |
| 4005 |    249 |  .  4   ..  ....  ...  ...  |        |
| 2001 |    355 |  .  0   ..  .vv.  ...  ...  |        |
| 2004 |    476 |  .  0   n.  ....  ...  ...  |        |
| 2005 |    531 |  .  0   n.  .v..  ...  ...  |        |
| 4014 |    599 |  .  1   .t  ....  ...  ...  |        |
| 2010 |   1086 |  .  0   n.  ....  ...  ...  |        |
| 2012 |   1123 |  .  01  n.  ....  ...  ...  |        |
| 4025 |   1131 |  s  0   ..  ....  ...  ...  |        |
| 4027 |   1272 |  .  0   .t  ....  ...  ...  |        |
| 2014 |   1288 |  .  2   .c  ....  .f.  ...  |        |
| 4028 |   1315 |  .  01  ..  ....  .f.  ...  |        |
| 4029 |   1325 |  s  01  ..  ....  ...  ...  |        |
| 2016 |   1372 |  .  1   n.  .u..  ...  ...  |        |
| 4035 |   1556 |  d  0   ..  ....  ...  ...  |        |
| 4038 |   1662 |  .  01  ..  ....  .f.  ...  |        |
| 4042 |   2020 |  .  0   .t  ....  ...  ...  |        |
| 4044 |   2140 |  .  4   ..  ....  ...  ...  |        |
| 2023 |   2142 |  .  0   ..  v.v.  ...  ...  |        |
| 2026 |   2210 |  s  2   ..  ....  ...  ...  |        |
| 2028 |   2235 |  .  00  ..  .v..  ...  ...  |        |
| 2035 |   2629 |  .  0   ..  ....  ...  .s.  |        |
| 4050 |   2733 |  d  0   ..  ....  ...  ...  |        |
| 2036 |   2787 |  .  0   ..  .v..  ...  ...  |        |
| 2039 |   2903 |  .  40  ..  vv.b  v..  ...  |        |
| 4054 |   2917 |  d  2   ..  ....  ...  ...  |        |
| 4055 |   2927 |  .  42  ..  ....  ...  ...  |        |
| 2040 |   2954 |  .  00  ..  .v..  ...  ...  |        |
| 3941 |   3132 |  .  0   ..  .v..  ...  ...  |        |
| 2042 |   3193 |  .  00  .c  .v..  ...  ...  |        |
| 4061 |   3368 |  .  00  ..  ....  .f.  ...  |        |
| 4062 |   3438 |  d  40  ..  ....  ...  ...  |        |
| 4065 |   3506 |  .  0   ..  ....  .f.  ...  |        |
| 4068 |   3649 |  .  00  .t  .v..  ...  ...  |        |
| 2050 |   3675 |  .  63  ..  ....  ...  ...  |        |
| 2051 |   3685 |  .  0   ..  .u..  ...  ...  |        |
| 2052 |   3788 |  .  00  .t  ....  ...  ...  |        |
| 4069 |   3798 |  d  0   ..  ....  ...  ...  |        |
| 2056 |   3949 |  .  00  ..  ....  ...  .s.  |        |
| 2057 |   4200 |  s  1   ..  ....  ...  ...  |        |
| 4081 |   4326 |  d  0   ..  ....  .f.  ...  |        |
| 2058 |   4346 |  .  0   ..  .v..  ...  ...  |        |
| 4082 |   4355 |  .  00  ..  ....  .f.  ...  |        |
| 2063 |   4709 |  .  01  ..  .v..  ...  ...  |        |
| 4094 |   4726 |  s  0   ..  ....  ...  ...  |        |
| 4096 |   4744 |  .  0   ..  ..b.  ...  ...  |        |
| 2068 |   5204 |  .  0   ..  .v..  ...  ...  |        |
| 2072 |   5319 |  .  0   ..  .v..  b.v  ...  |        |
| 4104 |   5344 |  .  0   .t  ....  ...  ...  |        |
| 4105 |   5431 |  .  4   ..  ....  ...  ...  |        |
| 2076 |   5472 |  .  01  ..  ....  .f.  ...  |        |
| 2074 |   5518 |  .  30  ..  .v..  ...  ...  |        |
| 2078 |   5589 |  .  21  ..  .v..  ...  ...  |        |
| 2080 |   5665 |  .  02  ..  ....  .f.  ...  |        |
| 2084 |   5833 |  .  00  .c  .v..  ...  ...  |        |
| 4112 |   5916 |  .  1   ..  ....  ...  b..  |        |
| 2085 |   5939 |  .  00  ..  .u..  ...  ...  |        |
| 2089 |   6315 |  .  01  ..  .u..  ...  ...  |        |
| 2091 |   6432 |  .  01  ..  .v..  ...  ...  |        |
| 2094 |   6487 |  s  00  ..  ....  ...  ...  |        |
| 4134 |   6699 |  .  00  ..  ....  .f.  ...  |        |
| 2098 |   6971 |  .  0   ..  ....  .f.  ...  |        |
| 2099 |   7007 |  .  0   .c  .vv.  ..c  ..i  |  3001  |
| 4141 |   7283 |  d  02  ..  ....  ...  ...  |        |
| 4142 |   7323 |  .  00  ..  ....  ...  a..  |        |
| 2102 |   7399 |  .  0   .t  ....  ...  ...  |        |
| 2104 |   7450 |  .  0   ..  .v..  ...  ...  |        |
| 2108 |   7617 |  .  0   ..  .u..  ...  ...  |        |
| 2113 |   7679 |  .  20  ..  .vv.  ...  ...  |        |
| 4155 |   8118 |  .  1   .t  ....  ...  ...  |        |
| 2117 |   8230 |  .  00  ..  .u..  ...  ...  |        |
| 2121 |   8404 |  .  0   ..  .u..  ...  ...  |        |
| 2120 |   8433 |  .  00  ..  .v..  ...  ...  |        |
| 2123 |   8593 |  .  1   ..  ....  ...  .s.  |        |
| 2125 |   8778 |  .  00  ..  ....  ...  .s.  |        |
| 2128 |   8883 |  s  30  ..  ....  ...  ...  |        |
| 4175 |   9068 |  .  00  .t  ....  ...  ...  |        |
| 4178 |   9171 |  s  00  ..  ....  ...  ...  |        |
| 2136 |   9295 |  .  01  ..  .uv.  ...  ...  |        |
| 2144 |   9472 |  s  0   ..  ....  ...  ...  |        |
| 2141 |   9572 |  .  00  ..  .v..  ...  ...  |        |
| 2143 |   9622 |  .  0   ..  .u..  ...  ...  |        |
| 4190 |   9812 |  s  0   ..  ....  ...  ...  |        |
| 4197 |   9956 |  s  0   ..  ....  ...  ...  |        |
| 2145 |   9977 |  d  01  n.  .vvu  ...  ...  |        |
| 3943 |  10054 |  .  0   ..  .v..  ...  ...  |        |
| 2148 |  10220 |  .  0   ..  v2v.  b..  ...  |        |
| 2149 |  10350 |  .  20  ..  .v..  ...  ...  |        |
| 2155 |  10446 |  .  0   ..  v.v.  ...  ...  |        |
| 4213 |  10734 |  .  0   .c  ....  ...  ...  |        |
| 4216 |  10854 |  .  40  ..  ....  ...  ...  |        |
| 4219 |  11028 |  d  01  ..  ....  ...  ...  |        |
| 2160 |  11046 |  .  21  ..  vv..  ...  ...  |        |
| 4222 |  11123 |  .  1   .t  ....  ...  ...  |        |
| 2164 |  11249 |  .  0   ..  .vb.  b..  ...  |        |
| 2166 |  11360 |  .  0   .t  ....  ...  ...  |        |
| 2167 |  11381 |  .  02  ..  .v..  ...  ...  |        |
| 2168 |  11477 |  .  1   ..  .vv.  ...  ...  |        |
| 2172 |  11678 |  .  00  ..  .v..  ...  ...  |        |
| 2174 |  11978 |  s  0   ..  ....  ...  ...  |        |
| 4234 |  11986 |  d  0   ..  ....  ...  ...  |        |
| 4235 |  11993 |  .  23  ..  ....  ...  ...  |        |
